,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Lonzo Ball,Lonzo Ball,PG,24,78.0,190.0,UCLA,18604651.0,chicago-bulls,4066421,https://www.espn.com/nba/player/_/id/4066421/lonzo-ball,Career,252.0,32.5,40.0,36.4,57.8,5.7,6.2,0.6,1.6,2.2,2.5,11.9
Tony Bradley,Tony Bradley,C,24,82.0,248.0,North Carolina,1669178.0,chicago-bulls,4065673,https://www.espn.com/nba/player/_/id/4065673/tony-bradley,Career,167.0,11.7,63.4,42.9,67.2,4.3,0.5,0.6,0.2,1.5,0.6,4.6
Alex Caruso,Alex Caruso,SG,28,77.0,186.0,Texas A&amp;M,8650651.0,chicago-bulls,2991350,https://www.espn.com/nba/player/_/id/2991350/alex-caruso,Career,225.0,20.6,42.2,36.6,73.6,2.5,2.7,0.3,1.1,1.9,1.2,6.2
Tyler Cook,Tyler Cook,F,24,80.0,255.0,Iowa,1701593.0,chicago-bulls,4066367,https://www.espn.com/nba/player/_/id/4066367/tyler-cook,Career,65.0,10.6,65.4,50.0,60.0,2.5,0.3,0.1,0.2,1.0,0.5,3.8
DeMar DeRozan,DeMar DeRozan,SF,33,78.0,220.0,USC,26000000.0,chicago-bulls,3978,https://www.espn.com/nba/player/_/id/3978/demar-derozan,Career,957.0,34.3,46.5,28.8,83.7,4.4,3.9,0.3,1.0,2.3,2.1,20.8
Ayo Dosunmu,Ayo Dosunmu,SG,22,76.0,200.0,Illinois,925258.0,chicago-bulls,4397002,https://www.espn.com/nba/player/_/id/4397002/ayo-dosunmu,Career,77.0,27.4,52.0,37.6,67.9,2.8,3.3,0.4,0.8,2.4,1.4,8.8
Goran Dragic,Goran Dragic,PG,36,75.0,190.0,--,460463.0,chicago-bulls,3423,https://www.espn.com/nba/player/_/id/3423/goran-dragic,Career,888.0,27.9,46.0,36.2,76.7,3.1,4.8,0.2,1.0,2.3,2.3,13.7
Andre Drummond,Andre Drummond,C,29,82.0,279.0,Connecticut,1669178.0,chicago-bulls,6585,https://www.espn.com/nba/player/_/id/6585/andre-drummond,Career,718.0,29.6,54.0,13.2,47.3,13.3,1.4,1.5,1.4,3.1,2.0,13.8
Javonte Green,Javonte Green,SF,29,77.0,205.0,Radford,1669178.0,chicago-bulls,2596112,https://www.espn.com/nba/player/_/id/2596112/javonte-green,Career,154.0,16.0,52.8,33.5,77.5,2.9,0.7,0.3,0.8,1.4,0.5,5.0
Malcolm Hill,Malcolm Hill,F,26,78.0,220.0,Illinois,0.0,chicago-bulls,3056245,https://www.espn.com/nba/player/_/id/3056245/malcolm-hill,Career,19.0,11.2,46.2,36.1,78.6,1.8,0.4,0.2,0.4,1.3,0.2,3.8
Derrick Jones Jr.,Derrick Jones Jr.,SF,25,78.0,210.0,UNLV,9720900.0,chicago-bulls,3936099,https://www.espn.com/nba/player/_/id/3936099/derrick-jones-jr,Career,280.0,19.8,50.9,29.8,69.9,3.4,0.7,0.7,0.7,2.0,0.6,6.5
Zach LaVine,Zach LaVine,SG,27,77.0,200.0,UCLA,19500000.0,chicago-bulls,3064440,https://www.espn.com/nba/player/_/id/3064440/zach-lavine,Career,478.0,31.8,46.1,38.6,83.0,3.9,3.9,0.3,0.9,2.2,2.7,19.8
Marko Simonovic,Marko Simonovic,C,22,83.0,220.0,--,925258.0,chicago-bulls,4683622,https://www.espn.com/nba/player/_/id/4683622/marko-simonovic,Career,9.0,3.9,26.7,20.0,72.7,1.1,0.0,0.1,0.1,0.7,0.2,1.9
Dalen Terry,Dalen Terry,G,20,79.0,195.0,Arizona,0.0,chicago-bulls,4433159,https://www.espn.com/nba/player/_/id/4433159/dalen-terry,,,,,,,,,,,,,
Matt Thomas,Matt Thomas,SG,28,75.0,190.0,Iowa State,1669178.0,chicago-bulls,3059311,https://www.espn.com/nba/player/_/id/3059311/matt-thomas,Career,126.0,9.7,43.3,40.4,80.4,1.2,0.5,0.0,0.2,0.6,0.3,4.0
Tristan Thompson,Tristan Thompson,C,31,81.0,254.0,Texas,1000000.0,chicago-bulls,6474,https://www.espn.com/nba/player/_/id/6474/tristan-thompson,Career,730.0,26.8,51.9,26.3,60.5,8.4,1.0,0.7,0.5,2.3,1.1,9.0
Nikola Vucevic,Nikola Vucevic,C,31,82.0,260.0,USC,24000000.0,chicago-bulls,6478,https://www.espn.com/nba/player/_/id/6478/nikola-vucevic,Career,741.0,30.9,49.4,34.8,75.7,10.4,2.7,0.9,0.9,2.5,1.7,16.9
Coby White,Coby White,PG,22,76.0,195.0,North Carolina,5837760.0,chicago-bulls,4395651,https://www.espn.com/nba/player/_/id/4395651/coby-white,Career,195.0,28.2,41.3,36.5,85.1,3.6,3.5,0.2,0.6,2.2,1.7,13.7
Patrick Williams,Patrick Williams,PF,20,79.0,215.0,Florida State,7422000.0,chicago-bulls,4431687,https://www.espn.com/nba/player/_/id/4431687/patrick-williams,Career,88.0,27.3,49.0,41.3,72.9,4.5,1.3,0.6,0.8,1.8,1.3,9.2
Ochai Agbaji,Ochai Agbaji,F,22,77.0,215.0,Kansas,0.0,cleveland-cavaliers,4397018,https://www.espn.com/nba/player/_/id/4397018/ochai-agbaji,,,,,,,,,,,,,
Jarrett Allen,Jarrett Allen,C,24,82.0,243.0,Texas,20000000.0,cleveland-cavaliers,4066328,https://www.espn.com/nba/player/_/id/4066328/jarrett-allen,Career,341.0,26.6,62.6,18.9,69.9,8.7,1.4,1.4,0.5,2.0,1.3,11.6
Moses Brown,Moses Brown,C,22,86.0,245.0,UCLA,19186.0,cleveland-cavaliers,4397126,https://www.espn.com/nba/player/_/id/4397126/moses-brown,Career,92.0,14.1,55.4,0.0,60.2,5.8,0.1,0.7,0.4,1.7,0.7,6.0
Ed Davis,Ed Davis,C,33,81.0,218.0,North Carolina,1669178.0,cleveland-cavaliers,4259,https://www.espn.com/nba/player/_/id/4259/ed-davis,Career,722.0,19.1,56.7,0.0,58.3,6.4,0.7,0.8,0.5,2.4,0.7,5.9
Khalifa Diop,Khalifa Diop,C,20,83.0,231.0,--,0.0,cleveland-cavaliers,4997530,https://www.espn.com/nba/player/_/id/4997530/khalifa-diop,,,,,,,,,,,,,
Tim Frazier,Tim Frazier,PG,31,72.0,170.0,Penn State,0.0,cleveland-cavaliers,2488945,https://www.espn.com/nba/player/_/id/2488945/tim-frazier,Career,289.0,17.6,40.0,32.3,72.3,2.3,4.0,0.1,0.7,1.8,1.3,4.9
Darius Garland,Darius Garland,PG,22,73.0,192.0,Vanderbilt,7040880.0,cleveland-cavaliers,4396907,https://www.espn.com/nba/player/_/id/4396907/darius-garland,Career,181.0,33.4,44.3,37.8,87.6,2.6,6.3,0.1,1.1,1.8,3.1,17.4
Brandon Goodwin,Brandon Goodwin,G,26,72.0,180.0,Florida Gulf Coast,0.0,cleveland-cavaliers,3057198,https://www.espn.com/nba/player/_/id/3057198/brandon-goodwin,Career,133.0,12.1,39.0,31.5,73.0,1.6,1.9,0.0,0.4,1.0,0.8,4.7
