,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Thaddeus Young,Thaddeus Young,PF,34,"6' 8""",235 lbs,Georgia Tech,"$14,190,000",toronto-raptors,3244,https://www.espn.com/nba/player/_/id/3244/thaddeus-young,Career,1085,29.3,50.2,33.2,66.3,5.8,1.8,0.4,1.4,2.2,1.5,12.8
Lonzo Ball,Lonzo Ball,PG,24,"6' 6""",190 lbs,UCLA,"$18,604,651",chicago-bulls,4066421,https://www.espn.com/nba/player/_/id/4066421/lonzo-ball,Career,252,32.5,40.0,36.4,57.8,5.7,6.2,0.6,1.6,2.2,2.5,11.9
Tony Bradley,Tony Bradley,C,24,"6' 10""",248 lbs,North Carolina,"$1,669,178",chicago-bulls,4065673,https://www.espn.com/nba/player/_/id/4065673/tony-bradley,Career,167,11.7,63.4,42.9,67.2,4.3,0.5,0.6,0.2,1.5,0.6,4.6
Alex Caruso,Alex Caruso,SG,28,"6' 5""",186 lbs,Texas A&amp;M,"$8,650,651",chicago-bulls,2991350,https://www.espn.com/nba/player/_/id/2991350/alex-caruso,Career,225,20.6,42.2,36.6,73.6,2.5,2.7,0.3,1.1,1.9,1.2,6.2
Tyler Cook,Tyler Cook,F,24,"6' 8""",255 lbs,Iowa,"$1,701,593",chicago-bulls,4066367,https://www.espn.com/nba/player/_/id/4066367/tyler-cook,Career,65,10.6,65.4,50.0,60.0,2.5,0.3,0.1,0.2,1.0,0.5,3.8
DeMar DeRozan,DeMar DeRozan,SF,33,"6' 6""",220 lbs,USC,"$26,000,000",chicago-bulls,3978,https://www.espn.com/nba/player/_/id/3978/demar-derozan,Career,957,34.3,46.5,28.8,83.7,4.4,3.9,0.3,1.0,2.3,2.1,20.8
Ayo Dosunmu,Ayo Dosunmu,SG,22,"6' 4""",200 lbs,Illinois,"$925,258",chicago-bulls,4397002,https://www.espn.com/nba/player/_/id/4397002/ayo-dosunmu,Career,77,27.4,52.0,37.6,67.9,2.8,3.3,0.4,0.8,2.4,1.4,8.8
Goran Dragic,Goran Dragic,PG,36,"6' 3""",190 lbs,--,"$460,463",chicago-bulls,3423,https://www.espn.com/nba/player/_/id/3423/goran-dragic,Career,888,27.9,46.0,36.2,76.7,3.1,4.8,0.2,1.0,2.3,2.3,13.7
Andre Drummond,Andre Drummond,C,29,"6' 10""",279 lbs,Connecticut,"$1,669,178",chicago-bulls,6585,https://www.espn.com/nba/player/_/id/6585/andre-drummond,Career,718,29.6,54.0,13.2,47.3,13.3,1.4,1.5,1.4,3.1,2.0,13.8
Javonte Green,Javonte Green,SF,29,"6' 5""",205 lbs,Radford,"$1,669,178",chicago-bulls,2596112,https://www.espn.com/nba/player/_/id/2596112/javonte-green,Career,154,16.0,52.8,33.5,77.5,2.9,0.7,0.3,0.8,1.4,0.5,5.0
Malcolm Hill,Malcolm Hill,F,26,"6' 6""",220 lbs,Illinois,--,chicago-bulls,3056245,https://www.espn.com/nba/player/_/id/3056245/malcolm-hill,Career,19,11.2,46.2,36.1,78.6,1.8,0.4,0.2,0.4,1.3,0.2,3.8
Derrick Jones Jr.,Derrick Jones Jr.,SF,25,"6' 6""",210 lbs,UNLV,"$9,720,900",chicago-bulls,3936099,https://www.espn.com/nba/player/_/id/3936099/derrick-jones-jr,Career,280,19.8,50.9,29.8,69.9,3.4,0.7,0.7,0.7,2.0,0.6,6.5
