,Name,POS,Age,HT,WT,College,Salary,Team
Jeremiah Robinson-Earl,Jeremiah Robinson-Earl,PF,21,"6' 9""",230 lbs,Villanova,"$2,000,000",oklahoma-city-thunder
Lindy Waters III,Lindy Waters III,F,25,"6' 6""",215 lbs,Oklahoma State,--,oklahoma-city-thunder
Aaron Wiggins,Aaron Wiggins,SG,23,"6' 6""",200 lbs,Maryland,--,oklahoma-city-thunder
Jalen Williams,Jalen Williams,F,21,"6' 6""",195 lbs,Santa Clara,--,oklahoma-city-thunder
Jaylin Williams,Jaylin Williams,F,20,"6' 10""",240 lbs,Arkansas,--,oklahoma-city-thunder
Kenrich Williams,Kenrich Williams,SF,27,"6' 6""",210 lbs,TCU,"$2,000,000",oklahoma-city-thunder
Keljin Blevins,Keljin Blevins,SF,26,"6' 4""",200 lbs,Montana State,--,portland-trail-blazers
Greg Brown III,Greg Brown III,PF,20,"6' 7""",206 lbs,Texas,"$925,258",portland-trail-blazers
Kris Dunn,Kris Dunn,PG,28,"6' 3""",205 lbs,Providence,"$5,005,350",portland-trail-blazers
CJ Elleby,CJ Elleby,SG,22,"6' 6""",200 lbs,Washington State,"$1,517,981",portland-trail-blazers
Drew Eubanks,Drew Eubanks,PF,25,"6' 9""",245 lbs,Oregon State,"$1,762,796",portland-trail-blazers
Jerami Grant,Jerami Grant,SF,28,"6' 8""",210 lbs,Syracuse,"$20,002,500",portland-trail-blazers
Josh Hart,Josh Hart,SG,27,"6' 5""",215 lbs,Villanova,"$12,000,000",portland-trail-blazers
Elijah Hughes,Elijah Hughes,F,24,"6' 5""",215 lbs,Syracuse,"$1,517,981",portland-trail-blazers
Joe Ingles,Joe Ingles,SG,34,"6' 8""",220 lbs,--,"$13,036,364",portland-trail-blazers
Keon Johnson,Keon Johnson,SG,20,"6' 4""",185 lbs,Tennessee,"$2,553,120",portland-trail-blazers
Ismael Kamagate,Ismael Kamagate,C,21,"6' 11""",227 lbs,--,--,portland-trail-blazers
Damian Lillard,Damian Lillard,PG,32,"6' 2""",195 lbs,Weber State,"$39,344,900",portland-trail-blazers
Nassir Little,Nassir Little,SF,22,"6' 5""",220 lbs,North Carolina,"$2,316,240",portland-trail-blazers
Didi Louzada,Didi Louzada,SF,23,"6' 5""",188 lbs,--,"$1,786,878",portland-trail-blazers
Ben McLemore,Ben McLemore,SG,29,"6' 3""",195 lbs,Kansas,"$1,669,178",portland-trail-blazers
Jusuf Nurkic,Jusuf Nurkic,C,27,"6' 11""",290 lbs,--,"$12,000,000",portland-trail-blazers
Gary Payton II,Gary Payton II,SG,29,"6' 3""",195 lbs,Oregon State,"$1,669,178",portland-trail-blazers
Reggie Perry,Reggie Perry,F,22,"6' 8""",250 lbs,Mississippi State,--,portland-trail-blazers
Shaedon Sharpe,Shaedon Sharpe,G,19,"6' 6""",200 lbs,Kentucky,--,portland-trail-blazers
Anfernee Simons,Anfernee Simons,SG,23,"6' 3""",181 lbs,--,"$3,938,818",portland-trail-blazers
Jabari Walker,Jabari Walker,F,20,"6' 9""",215 lbs,Colorado,--,portland-trail-blazers
Trendon Watford,Trendon Watford,PF,21,"6' 8""",237 lbs,LSU,"$436,482",portland-trail-blazers
Brandon Williams,Brandon Williams,PG,22,"6' 2""",190 lbs,Arizona,--,portland-trail-blazers
Justise Winslow,Justise Winslow,PF,26,"6' 6""",222 lbs,Duke,"$3,902,439",portland-trail-blazers
Cody Zeller,Cody Zeller,C,29,"6' 11""",240 lbs,Indiana,--,portland-trail-blazers
Nickeil Alexander-Walker,Nickeil Alexander-Walker,SG,23,"6' 5""",205 lbs,Virginia Tech,"$3,261,480",utah-jazz
Udoka Azubuike,Udoka Azubuike,C,22,"7' 0""",270 lbs,Kansas,"$2,075,880",utah-jazz
Malik Beasley,Malik Beasley,SG,25,"6' 4""",187 lbs,Florida State,"$14,491,964",utah-jazz
Patrick Beverley,Patrick Beverley,PG,34,"6' 1""",180 lbs,Arkansas,"$14,320,988",utah-jazz
Bojan Bogdanovic,Bojan Bogdanovic,SF,33,"6' 7""",226 lbs,--,"$18,700,000",utah-jazz
Leandro Bolmaro,Leandro Bolmaro,SG,21,"6' 6""",200 lbs,--,"$2,353,320",utah-jazz
Jared Butler,Jared Butler,SG,21,"6' 3""",193 lbs,Baylor,"$925,258",utah-jazz
Jordan Clarkson,Jordan Clarkson,PG,30,"6' 4""",194 lbs,Missouri,"$12,420,000",utah-jazz
Mike Conley,Mike Conley,PG,34,"6' 1""",175 lbs,Ohio State,"$21,000,000",utah-jazz
Simone Fontecchio,Simone Fontecchio,F,26,"6' 7""",200 lbs,--,--,utah-jazz
Trent Forrest,Trent Forrest,SG,24,"6' 4""",210 lbs,Florida State,--,utah-jazz
Rudy Gay,Rudy Gay,SF,35,"6' 8""",250 lbs,Connecticut,"$5,890,000",utah-jazz
Johnny Juzang,Johnny Juzang,G,21,"6' 7""",215 lbs,UCLA,--,utah-jazz
Walker Kessler,Walker Kessler,C,--,"7' 1""",245 lbs,Auburn,--,utah-jazz
Donovan Mitchell,Donovan Mitchell,SG,25,"6' 1""",215 lbs,Louisville,"$28,103,500",utah-jazz
Eric Paschall,Eric Paschall,PF,25,"6' 6""",255 lbs,Villanova,"$1,782,621",utah-jazz
Xavier Sneed,Xavier Sneed,F,24,"6' 5""",215 lbs,Bradley,"$8,558",utah-jazz
Jarred Vanderbilt,Jarred Vanderbilt,PF,23,"6' 9""",214 lbs,Kentucky,"$4,050,000",utah-jazz
Hassan Whiteside,Hassan Whiteside,C,33,"7' 0""",265 lbs,Marshall,"$1,669,178",utah-jazz
Patrick Baldwin Jr.,Patrick Baldwin Jr.,F,19,"6' 9""",220 lbs,Milwaukee,--,golden-state-warriors
Nemanja Bjelica,Nemanja Bjelica,PF,34,"6' 9""",234 lbs,--,"$1,669,178",golden-state-warriors
Chris Chiozza,Chris Chiozza,G,26,"5' 11""",175 lbs,Florida,--,golden-state-warriors
Stephen Curry,Stephen Curry,PG,34,"6' 2""",185 lbs,Davidson,"$45,780,966",golden-state-warriors
Donte DiVincenzo,Donte DiVincenzo,SG,25,"6' 4""",203 lbs,Villanova,"$4,675,830",golden-state-warriors
Draymond Green,Draymond Green,PF,32,"6' 6""",230 lbs,Michigan State,"$24,026,712",golden-state-warriors
Andre Iguodala,Andre Iguodala,F,38,"6' 6""",215 lbs,Arizona,"$1,669,178",golden-state-warriors
Jonathan Kuminga,Jonathan Kuminga,PF,19,"6' 8""",210 lbs,--,"$5,466,360",golden-state-warriors
Kevon Looney,Kevon Looney,C,26,"6' 9""",222 lbs,UCLA,"$5,178,572",golden-state-warriors
Mac McClung,Mac McClung,SG,23,"6' 2""",185 lbs,Texas Tech,--,golden-state-warriors
Moses Moody,Moses Moody,SG,20,"6' 6""",205 lbs,Arkansas,"$3,562,200",golden-state-warriors
Jordan Poole,Jordan Poole,SG,23,"6' 4""",194 lbs,Michigan,"$2,161,440",golden-state-warriors
Ryan Rollins,Ryan Rollins,G,20,"6' 4""",180 lbs,Toledo,--,golden-state-warriors
Gui Santos,Gui Santos,F,20,"6' 8""",209 lbs,--,--,golden-state-warriors
Klay Thompson,Klay Thompson,SG,32,"6' 6""",220 lbs,Washington State,"$37,980,720",golden-state-warriors
Quinndary Weatherspoon,Quinndary Weatherspoon,SG,25,"6' 3""",207 lbs,Mississippi State,--,golden-state-warriors
Andrew Wiggins,Andrew Wiggins,SF,27,"6' 7""",197 lbs,Kansas,"$31,579,390",golden-state-warriors
James Wiseman,James Wiseman,C,21,"7' 0""",258 lbs,Memphis,"$9,166,800",golden-state-warriors
Nicolas Batum,Nicolas Batum,PF,33,"6' 8""",230 lbs,--,"$3,170,029",la-clippers
Brandon Boston Jr.,Brandon Boston Jr.,SG,20,"6' 6""",188 lbs,Kentucky,"$925,258",la-clippers
Amir Coffey,Amir Coffey,SG,25,"6' 7""",210 lbs,Minnesota,"$153,488",la-clippers
Robert Covington,Robert Covington,PF,31,"6' 7""",209 lbs,Tennessee State,"$12,975,471",la-clippers
Moussa Diabate,Moussa Diabate,F,20,"6' 11""",210 lbs,Michigan,--,la-clippers
Paul George,Paul George,SG,32,"6' 8""",220 lbs,Fresno State,"$39,344,900",la-clippers
Rodney Hood,Rodney Hood,SG,29,"6' 8""",208 lbs,Duke,"$1,669,178",la-clippers
Reggie Jackson,Reggie Jackson,PG,32,"6' 2""",208 lbs,Boston College,"$10,384,500",la-clippers
Luke Kennard,Luke Kennard,SG,26,"6' 5""",206 lbs,Duke,"$13,347,727",la-clippers
Kawhi Leonard,Kawhi Leonard,SF,31,"6' 7""",225 lbs,San Diego State,"$39,344,900",la-clippers
Terance Mann,Terance Mann,SG,25,"6' 5""",215 lbs,Florida State,"$1,782,621",la-clippers
Xavier Moon,Xavier Moon,PG,27,"6' 2""",165 lbs,Morehead State,--,la-clippers
Marcus Morris Sr.,Marcus Morris Sr.,SF,32,"6' 8""",218 lbs,Kansas,"$15,627,907",la-clippers
Norman Powell,Norman Powell,SF,29,"6' 3""",215 lbs,UCLA,"$15,517,241",la-clippers
Jason Preston,Jason Preston,PG,22,"6' 3""",181 lbs,Ohio,"$1,062,303",la-clippers
John Wall,John Wall,PG,31,"6' 3""",210 lbs,Kentucky,"$44,310,840",la-clippers
Ivica Zubac,Ivica Zubac,C,25,"7' 0""",240 lbs,--,"$7,518,518",la-clippers
Carmelo Anthony,Carmelo Anthony,PF,38,"6' 7""",238 lbs,Syracuse,"$1,669,178",los-angeles-lakers
D.J. Augustin,D.J. Augustin,G,34,"5' 11""",183 lbs,Texas,"$393,312",los-angeles-lakers
Kent Bazemore,Kent Bazemore,SF,33,"6' 4""",195 lbs,Old Dominion,"$1,669,178",los-angeles-lakers
Avery Bradley,Avery Bradley,PG,31,"6' 3""",180 lbs,Texas,"$1,669,178",los-angeles-lakers
Troy Brown Jr.,Troy Brown Jr.,SF,23,"6' 6""",215 lbs,Oregon,"$5,170,564",los-angeles-lakers
Thomas Bryant,Thomas Bryant,C,24,"6' 10""",248 lbs,Indiana,"$8,666,667",los-angeles-lakers
Max Christie,Max Christie,G,19,"6' 6""",190 lbs,Michigan State,--,los-angeles-lakers
Anthony Davis,Anthony Davis,PF,29,"6' 10""",253 lbs,Kentucky,"$35,361,360",los-angeles-lakers
Wayne Ellington,Wayne Ellington,SG,34,"6' 4""",207 lbs,North Carolina,"$1,669,178",los-angeles-lakers
Wenyen Gabriel,Wenyen Gabriel,F,25,"6' 9""",205 lbs,Kentucky,--,los-angeles-lakers
Talen Horton-Tucker,Talen Horton-Tucker,SG,21,"6' 4""",234 lbs,Iowa State,"$9,500,000",los-angeles-lakers
Dwight Howard,Dwight Howard,C,36,"6' 10""",265 lbs,--,"$1,669,178",los-angeles-lakers
Jay Huff,Jay Huff,C,23,"7' 1""",240 lbs,Virginia,--,los-angeles-lakers
LeBron James,LeBron James,SF,37,"6' 9""",250 lbs,--,"$41,180,544",los-angeles-lakers
Stanley Johnson,Stanley Johnson,PF,26,"6' 6""",242 lbs,Arizona,"$888,616",los-angeles-lakers
Damian Jones,Damian Jones,C,27,"6' 11""",245 lbs,Vanderbilt,"$1,977,011",los-angeles-lakers
Mason Jones,Mason Jones,G,24,"6' 4""",200 lbs,Arkansas,--,los-angeles-lakers
Kendrick Nunn,Kendrick Nunn,G,26,"6' 2""",190 lbs,Oakland,"$5,000,000",los-angeles-lakers
Scotty Pippen Jr.,Scotty Pippen Jr.,G,21,"6' 3""",185 lbs,Vanderbilt,--,los-angeles-lakers
Austin Reaves,Austin Reaves,SG,24,"6' 5""",197 lbs,Oklahoma,"$925,258",los-angeles-lakers
Cole Swider,Cole Swider,F,23,"6' 9""",220 lbs,Syracuse,--,los-angeles-lakers
Juan Toscano-Anderson,Juan Toscano-Anderson,SF,29,"6' 6""",209 lbs,Marquette,"$1,701,593",los-angeles-lakers
Lonnie Walker IV,Lonnie Walker IV,G,23,"6' 4""",204 lbs,"$4,447,896",,los-angeles-lakers
Russell Westbrook,Russell Westbrook,PG,33,"6' 3""",200 lbs,UCLA,"$44,211,146",los-angeles-lakers
Deandre Ayton,Deandre Ayton,C,24,"6' 11""",250 lbs,Arizona,"$12,632,950",phoenix-suns
Bismack Biyombo,Bismack Biyombo,C,29,"6' 8""",255 lbs,--,"$863,368",phoenix-suns
Devin Booker,Devin Booker,SG,25,"6' 5""",206 lbs,Kentucky,"$31,650,600",phoenix-suns
Mikal Bridges,Mikal Bridges,SF,25,"6' 6""",209 lbs,Villanova,"$5,557,725",phoenix-suns
Torrey Craig,Torrey Craig,SF,31,"6' 7""",221 lbs,USC Upstate,"$4,878,049",phoenix-suns
Jae Crowder,Jae Crowder,PF,32,"6' 6""",235 lbs,Marquette,"$9,720,900",phoenix-suns
Cameron Johnson,Cameron Johnson,SF,26,"6' 8""",210 lbs,North Carolina,"$4,437,000",phoenix-suns
Jock Landale,Jock Landale,C,26,"6' 11""",255 lbs,Saint Mary's,"$925,258",phoenix-suns
Damion Lee,Damion Lee,SG,29,"6' 5""",210 lbs,Louisville,"$1,910,860",phoenix-suns
Gabriel Lundberg,Gabriel Lundberg,F,27,"6' 4""",203 lbs,--,--,phoenix-suns
Josh Okogie,Josh Okogie,SF,23,"6' 4""",213 lbs,Georgia Tech,"$4,087,904",phoenix-suns
Chris Paul,Chris Paul,PG,37,"6' 0""",175 lbs,Wake Forest,"$30,000,000",phoenix-suns
Cameron Payne,Cameron Payne,PG,27,"6' 1""",183 lbs,Murray State,"$6,500,000",phoenix-suns
Elfrid Payton,Elfrid Payton,PG,28,"6' 3""",195 lbs,Louisiana-Lafayette,"$1,669,178",phoenix-suns
Dario Saric,Dario Saric,PF,28,"6' 10""",225 lbs,--,"$8,510,000",phoenix-suns
Landry Shamet,Landry Shamet,SG,25,"6' 4""",190 lbs,Wichita State,"$3,768,342",phoenix-suns
Ish Wainright,Ish Wainright,F,27,"6' 5""",235 lbs,Baylor,"$5,318",phoenix-suns
Harrison Barnes,Harrison Barnes,SF,30,"6' 8""",225 lbs,North Carolina,"$20,284,091",sacramento-kings
Terence Davis,Terence Davis,SG,25,"6' 4""",201 lbs,Ole Miss,"$4,000,000",sacramento-kings
De'Aaron Fox,De'Aaron Fox,PG,24,"6' 3""",185 lbs,Kentucky,"$28,103,550",sacramento-kings
Richaun Holmes,Richaun Holmes,C,28,"6' 10""",235 lbs,Bowling Green,"$10,384,500",sacramento-kings
Kevin Huerter,Kevin Huerter,SG,23,"6' 7""",198 lbs,Maryland,"$4,253,357",sacramento-kings
Josh Jackson,Josh Jackson,SG,25,"6' 8""",207 lbs,Kansas,"$5,005,350",sacramento-kings
Jeremy Lamb,Jeremy Lamb,SG,30,"6' 5""",180 lbs,Connecticut,"$10,500,000",sacramento-kings
Alex Len,Alex Len,C,29,"7' 0""",250 lbs,Maryland,"$3,732,000",sacramento-kings
Trey Lyles,Trey Lyles,PF,26,"6' 9""",234 lbs,Kentucky,"$2,500,000",sacramento-kings
Chimezie Metu,Chimezie Metu,PF,25,"6' 9""",225 lbs,USC,"$1,762,796",sacramento-kings
Davion Mitchell,Davion Mitchell,PG,23,"6' 0""",202 lbs,Baylor,"$4,603,320",sacramento-kings
Chima Moneke,Chima Moneke,F,--,"6' 6""",223 lbs,UC Davis,--,sacramento-kings
Malik Monk,Malik Monk,SG,24,"6' 3""",200 lbs,Kentucky,"$1,669,178",sacramento-kings
Keegan Murray,Keegan Murray,F,21,"6' 8""",215 lbs,Iowa,--,sacramento-kings
KZ Okpala,KZ Okpala,F,23,"6' 8""",215 lbs,Stanford,"$1,782,621",sacramento-kings
Neemias Queta,Neemias Queta,C,23,"7' 0""",245 lbs,Utah State,--,sacramento-kings
Domantas Sabonis,Domantas Sabonis,PF,26,"6' 11""",240 lbs,Gonzaga,"$19,800,000",sacramento-kings
Bogdan Bogdanovic,Bogdan Bogdanovic,SG,29,"6' 6""",225 lbs,--,"$18,000,000",atlanta-hawks
Chaundee Brown Jr.,Chaundee Brown Jr.,G,23,"6' 5""",215 lbs,Michigan,--,atlanta-hawks
Clint Capela,Clint Capela,C,28,"6' 10""",256 lbs,--,"$18,603,448",atlanta-hawks
John Collins,John Collins,PF,24,"6' 9""",226 lbs,Wake Forest,"$23,000,000",atlanta-hawks
Sharife Cooper,Sharife Cooper,PG,21,"6' 1""",176 lbs,Auburn,--,atlanta-hawks
Gorgui Dieng,Gorgui Dieng,C,32,"6' 10""",248 lbs,Louisville,"$4,000,000",atlanta-hawks
AJ Griffin,AJ Griffin,F,18,"6' 6""",222 lbs,Duke,--,atlanta-hawks
Maurice Harkless,Maurice Harkless,SF,29,"6' 7""",220 lbs,St. John's,"$4,347,600",atlanta-hawks
Aaron Holiday,Aaron Holiday,G,25,"6' 0""",185 lbs,UCLA,"$3,980,551",atlanta-hawks
Justin Holiday,Justin Holiday,SF,33,"6' 6""",180 lbs,Washington,"$6,006,420",atlanta-hawks
De'Andre Hunter,De'Andre Hunter,SF,24,"6' 8""",221 lbs,Virginia,"$7,775,400",atlanta-hawks
Jalen Johnson,Jalen Johnson,SF,20,"6' 8""",219 lbs,Duke,"$2,659,580",atlanta-hawks
Frank Kaminsky,Frank Kaminsky,PG,29,"7' 0""",240 lbs,Wisconsin,"$1,669,178",atlanta-hawks
Kevin Knox II,Kevin Knox II,F,22,"6' 7""",215 lbs,Kentucky,"$5,845,979",atlanta-hawks
Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,SG,27,"6' 7""",215 lbs,--,"$1,669,178",atlanta-hawks
Tyrese Martin,Tyrese Martin,F,23,"6' 6""",215 lbs,Connecticut,--,atlanta-hawks
Skylar Mays,Skylar Mays,SG,24,"6' 4""",205 lbs,LSU,--,atlanta-hawks
Dejounte Murray,Dejounte Murray,SG,25,"6' 4""",180 lbs,Washington,"$15,428,880",atlanta-hawks
Onyeka Okongwu,Onyeka Okongwu,PF,21,"6' 8""",240 lbs,USC,"$6,104,280",atlanta-hawks
Lou Williams,Lou Williams,SG,35,"6' 2""",175 lbs,--,"$5,000,000",atlanta-hawks
Trae Young,Trae Young,PG,23,"6' 1""",164 lbs,Oklahoma,"$8,326,471",atlanta-hawks
LaMelo Ball,LaMelo Ball,PG,20,"6' 7""",180 lbs,--,"$8,231,760",charlotte-hornets
James Bouknight,James Bouknight,SG,21,"6' 4""",190 lbs,Connecticut,"$4,154,400",charlotte-hornets
Miles Bridges,Miles Bridges,SF,24,"6' 7""",225 lbs,Michigan State,"$5,421,493",charlotte-hornets
Montrezl Harrell,Montrezl Harrell,C,28,"6' 7""",240 lbs,Louisville,"$9,720,900",charlotte-hornets
Gordon Hayward,Gordon Hayward,SF,32,"6' 7""",225 lbs,Butler,"$29,925,000",charlotte-hornets
Kai Jones,Kai Jones,PF,21,"6' 10""",221 lbs,Texas,"$2,770,560",charlotte-hornets
Arnoldas Kulboka,Arnoldas Kulboka,PF,24,"6' 10""",209 lbs,--,--,charlotte-hornets
Scottie Lewis,Scottie Lewis,SG,22,"6' 5""",185 lbs,Florida,--,charlotte-hornets
Cody Martin,Cody Martin,SF,26,"6' 6""",205 lbs,Nevada,"$1,782,621",charlotte-hornets
Jalen McDaniels,Jalen McDaniels,PF,24,"6' 9""",205 lbs,San Diego State,"$1,782,621",charlotte-hornets
Bryce McGowens,Bryce McGowens,G,19,"6' 7""",179 lbs,Nebraska,--,charlotte-hornets
Kelly Oubre Jr.,Kelly Oubre Jr.,SG,26,"6' 6""",203 lbs,Kansas,"$12,000,000",charlotte-hornets
Mason Plumlee,Mason Plumlee,C,32,"6' 11""",254 lbs,Duke,"$9,248,333",charlotte-hornets
Nick Richards,Nick Richards,C,24,"7' 0""",245 lbs,Kentucky,"$1,517,981",charlotte-hornets
Terry Rozier,Terry Rozier,SG,28,"6' 1""",190 lbs,Louisville,"$17,905,263",charlotte-hornets
Isaiah Thomas,Isaiah Thomas,G,33,"5' 9""",185 lbs,Washington,"$191,860",charlotte-hornets
JT Thor,JT Thor,PF,19,"6' 9""",203 lbs,Auburn,"$1,250,000",charlotte-hornets
P.J. Washington,P.J. Washington,PF,23,"6' 7""",230 lbs,Kentucky,"$4,215,120",charlotte-hornets
Mark Williams,Mark Williams,C,20,"7' 0""",242 lbs,Duke,--,charlotte-hornets
Bam Adebayo,Bam Adebayo,C,25,"6' 9""",255 lbs,Kentucky,"$28,103,500",miami-heat
Jamaree Bouyea,Jamaree Bouyea,G,23,"6' 2""",170 lbs,San Francisco,--,miami-heat
Jimmy Butler,Jimmy Butler,SF,32,"6' 7""",230 lbs,Marquette,"$36,016,200",miami-heat
Jamal Cain,Jamal Cain,F,23,"6' 7""",191 lbs,Oakland,--,miami-heat
Darius Days,Darius Days,F,22,"6' 7""",240 lbs,LSU,--,miami-heat
Dewayne Dedmon,Dewayne Dedmon,C,32,"7' 0""",245 lbs,USC,"$1,669,178",miami-heat
Marcus Garrett,Marcus Garrett,SG,23,"6' 5""",205 lbs,Kansas,--,miami-heat
Udonis Haslem,Udonis Haslem,PF,42,"6' 8""",235 lbs,Florida,"$1,669,178",miami-heat
Tyler Herro,Tyler Herro,PG,22,"6' 5""",195 lbs,Kentucky,"$4,004,280",miami-heat
Haywood Highsmith,Haywood Highsmith,F,25,"6' 7""",220 lbs,Wheeling Jesuit,"$290,967",miami-heat
Nikola Jovic,Nikola Jovic,F,19,"6' 11""",223 lbs,--,--,miami-heat
Kyle Lowry,Kyle Lowry,PG,36,"6' 0""",196 lbs,Villanova,"$26,894,128",miami-heat
Caleb Martin,Caleb Martin,SF,26,"6' 5""",205 lbs,Nevada,"$1,782,621",miami-heat
Markieff Morris,Markieff Morris,PF,32,"6' 9""",245 lbs,Kansas,"$1,669,178",miami-heat
Victor Oladipo,Victor Oladipo,SG,30,"6' 4""",213 lbs,Indiana,"$1,669,178",miami-heat
Duncan Robinson,Duncan Robinson,SG,28,"6' 7""",215 lbs,Michigan,"$15,650,000",miami-heat
Max Strus,Max Strus,SG,26,"6' 5""",215 lbs,DePaul,"$1,669,178",miami-heat
Gabe Vincent,Gabe Vincent,PG,26,"6' 3""",200 lbs,UC Santa Barbara,"$1,669,178",miami-heat
Omer Yurtseven,Omer Yurtseven,C,24,"6' 11""",255 lbs,Georgetown,"$1,489,065",miami-heat
Cole Anthony,Cole Anthony,PG,22,"6' 3""",185 lbs,North Carolina,"$3,449,400",orlando-magic
Mo Bamba,Mo Bamba,C,24,"7' 0""",231 lbs,Texas,"$7,568,743",orlando-magic
Paolo Banchero,Paolo Banchero,F,19,"6' 10""",250 lbs,Duke,--,orlando-magic
Bol Bol,Bol Bol,C,22,"7' 2""",220 lbs,Oregon,"$2,161,152",orlando-magic
Ignas Brazdeikis,Ignas Brazdeikis,SF,23,"6' 6""",221 lbs,Michigan,--,orlando-magic
Devin Cannady,Devin Cannady,G,26,"6' 1""",190 lbs,Princeton,"$100,000",orlando-magic
Wendell Carter Jr.,Wendell Carter Jr.,C,23,"6' 10""",270 lbs,Duke,"$6,920,027",orlando-magic
Markelle Fultz,Markelle Fultz,PG,24,"6' 4""",209 lbs,Washington,"$16,500,000",orlando-magic
R.J. Hampton,R.J. Hampton,PG,21,"6' 6""",190 lbs,--,"$2,303,040",orlando-magic
Gary Harris,Gary Harris,SG,27,"6' 4""",210 lbs,Michigan State,"$20,482,143",orlando-magic
Kevon Harris,Kevon Harris,G,25,"6' 6""",216 lbs,Stephen F. Austin,--,orlando-magic
Caleb Houstan,Caleb Houstan,F,19,"6' 8""",205 lbs,Michigan,--,orlando-magic
Jonathan Isaac,Jonathan Isaac,PF,24,"6' 10""",230 lbs,Florida State,"$17,400,000",orlando-magic
Chuma Okeke,Chuma Okeke,PF,23,"6' 6""",229 lbs,Auburn,"$3,277,080",orlando-magic
Terrence Ross,Terrence Ross,SG,31,"6' 6""",206 lbs,Washington,"$12,500,000",orlando-magic
Admiral Schofield,Admiral Schofield,SF,25,"6' 5""",241 lbs,Tennessee,--,orlando-magic
Jalen Suggs,Jalen Suggs,SG,21,"6' 5""",205 lbs,Gonzaga,"$6,593,040",orlando-magic
Franz Wagner,Franz Wagner,SF,20,"6' 10""",220 lbs,Michigan,"$5,007,840",orlando-magic
Moritz Wagner,Moritz Wagner,C,25,"6' 11""",245 lbs,Michigan,"$1,729,217",orlando-magic
Deni Avdija,Deni Avdija,SF,21,"6' 9""",210 lbs,--,"$4,692,840",washington-wizards
Will Barton,Will Barton,SF,31,"6' 5""",181 lbs,Memphis,"$15,625,000",washington-wizards
Bradley Beal,Bradley Beal,SG,29,"6' 4""",207 lbs,Florida,"$33,724,200",washington-wizards
Vernon Carey Jr.,Vernon Carey Jr.,C,21,"6' 9""",270 lbs,Duke,"$1,517,981",washington-wizards
Johnny Davis,Johnny Davis,G,21,"6' 5""",196 lbs,Wisconsin,--,washington-wizards
Daniel Gafford,Daniel Gafford,C,23,"6' 9""",234 lbs,Arkansas,"$1,782,621",washington-wizards
Taj Gibson,Taj Gibson,F,37,"6' 9""",232 lbs,USC,"$4,910,000",washington-wizards
Anthony Gill,Anthony Gill,PF,29,"6' 7""",230 lbs,Virginia,"$1,517,981",washington-wizards
Rui Hachimura,Rui Hachimura,PF,24,"6' 8""",230 lbs,Gonzaga,"$4,916,160",washington-wizards
Corey Kispert,Corey Kispert,SF,23,"6' 6""",224 lbs,Gonzaga,"$3,383,640",washington-wizards
Kyle Kuzma,Kyle Kuzma,SF,27,"6' 9""",221 lbs,Utah,"$13,000,000",washington-wizards
Monte Morris,Monte Morris,PG,27,"6' 2""",183 lbs,Iowa State,"$8,449,074",washington-wizards
Yannick Nzosa,Yannick Nzosa,C,20,"6' 11""",215 lbs,--,--,washington-wizards
Kristaps Porzingis,Kristaps Porzingis,C,26,"7' 3""",240 lbs,--,"$31,650,600",washington-wizards
Tomas Satoransky,Tomas Satoransky,SG,30,"6' 7""",210 lbs,--,"$10,000,000",washington-wizards
Jordan Schakel,Jordan Schakel,F,24,"6' 6""",200 lbs,San Diego State,--,washington-wizards
Isaiah Todd,Isaiah Todd,PF,20,"6' 9""",219 lbs,--,"$1,500,000",washington-wizards
Cassius Winston,Cassius Winston,PG,24,"6' 1""",185 lbs,Michigan State,--,washington-wizards
Delon Wright,Delon Wright,SG,30,"6' 5""",185 lbs,Utah,"$8,526,316",washington-wizards
Davis Bertans,Davis Bertans,SF,29,"6' 10""",225 lbs,--,"$16,000,000",dallas-mavericks
Reggie Bullock,Reggie Bullock,SF,31,"6' 6""",205 lbs,North Carolina,"$9,536,000",dallas-mavericks
Spencer Dinwiddie,Spencer Dinwiddie,PG,29,"6' 6""",215 lbs,Colorado,"$17,142,857",dallas-mavericks
Luka Doncic,Luka Doncic,PG,23,"6' 7""",230 lbs,--,"$10,174,391",dallas-mavericks
Tyler Dorsey,Tyler Dorsey,G,26,"6' 4""",195 lbs,Oregon,--,dallas-mavericks
Dorian Finney-Smith,Dorian Finney-Smith,PF,29,"6' 7""",220 lbs,Florida,"$4,000,000",dallas-mavericks
Josh Green,Josh Green,SG,21,"6' 5""",200 lbs,Arizona,"$2,957,520",dallas-mavericks
Tim Hardaway Jr.,Tim Hardaway Jr.,SF,30,"6' 5""",205 lbs,Michigan,"$21,308,816",dallas-mavericks
Jaden Hardy,Jaden Hardy,G,20,"6' 4""",198 lbs,--,--,dallas-mavericks
Maxi Kleber,Maxi Kleber,PF,30,"6' 10""",240 lbs,--,"$8,975,000",dallas-mavericks
Brandon Knight,Brandon Knight,PG,30,"6' 2""",182 lbs,Kentucky,--,dallas-mavericks
JaVale McGee,JaVale McGee,C,34,"7' 0""",270 lbs,Nevada,"$5,000,000",dallas-mavericks
Frank Ntilikina,Frank Ntilikina,PG,24,"6' 4""",200 lbs,--,"$1,669,178",dallas-mavericks
Theo Pinson,Theo Pinson,G,26,"6' 5""",212 lbs,North Carolina,--,dallas-mavericks
